Move;value;visited;score
PROPOSE; value 1: 5.625562776253211; round: 20; ; value 2: 1.3211206979147618; round: 20; ; value 3: 4.922854221962758; round: 20; ; value 4: 1.8330295839869852; round: 20; ; value 5: 4.65542459821474; round: 20; ; value 6: 4.623923945460969; round: 20; ; value 7: 7.33824333246779; round: 20; ; value 8: 4.7704099628198815; round: 20; ; value 9: 3.364107657477072; round: 20; ; value 10: 0.4874798700622426; round: 20; ;0.5436299784046766;54;0.5436299784046766
PROPOSE; value 1: 8.259418143958602; round: 20; ; value 2: 7.4717632457141905; round: 20; ; value 3: 7.486312960804889; round: 20; ; value 4: 1.5162067090610336; round: 20; ; value 5: 3.123462909582143; round: 20; ; value 6: 0.7486499719298053; round: 20; ; value 7: 7.079320455966078; round: 20; ; value 8: 3.607485022734973; round: 20; ; value 9: 3.532885979601734; round: 20; ; value 10: 7.859541576026198; round: 20; ;0.5545683831984025;53;0.5545683831984025
PROPOSE; value 1: 3.116680479708472; round: 20; ; value 2: 3.9554917473776454; round: 20; ; value 3: 2.461834894230404; round: 20; ; value 4: 6.145559213756274; round: 20; ; value 5: 7.260531409298176; round: 20; ; value 6: 7.201503321548046; round: 20; ; value 7: 1.2551130239237156; round: 20; ; value 8: 4.07582182237927; round: 20; ; value 9: 7.406099733062605; round: 20; ; value 10: 2.0651555843838434; round: 20; ;0.5053452723122566;52;0.5053452723122566
PROPOSE; value 1: 4.957459931336006; round: 20; ; value 2: 7.293282288998565; round: 20; ; value 3: 5.754501170913319; round: 20; ; value 4: 3.9156560603329913; round: 20; ; value 5: 2.9063365457023975; round: 20; ; value 6: 1.0555913317587362; round: 20; ; value 7: 1.9369364368092299; round: 20; ; value 8: 8.461924288049941; round: 20; ; value 9: 0.45959028411006175; round: 20; ; value 10: 7.407879036101392; round: 20; ;0.5345888942201946;50;0.5345888942201946
PROPOSE; value 1: 2.008537081130235; round: 20; ; value 2: 4.020891362450724; round: 20; ; value 3: 1.7112383416646777; round: 20; ; value 4: 6.343392227094596; round: 20; ; value 5: 7.627268380287193; round: 20; ; value 6: 6.3307584982166185; round: 20; ; value 7: 3.3570464890901843; round: 20; ; value 8: 0.0501729146073594; round: 20; ; value 9: 3.22501129865512; round: 20; ; value 10: 2.4174205977983516; round: 20; ;0.5333128484895;50;0.5333128484895
PROPOSE; value 1: 0.9709565792481702; round: 20; ; value 2: 2.250752857191851; round: 20; ; value 3: 5.2254357703890015; round: 20; ; value 4: 2.3756612700068147; round: 20; ; value 5: 5.088235872469745; round: 20; ; value 6: 0.646947070113867; round: 20; ; value 7: 8.531479413977321; round: 20; ; value 8: 4.475774001245278; round: 20; ; value 9: 3.888727076039823; round: 20; ; value 10: 3.662005350780917; round: 20; ;0.5324586125086527;49;0.5324586125086527
PROPOSE; value 1: 7.932846168974094; round: 20; ; value 2: 2.526826292649108; round: 20; ; value 3: 6.461313962114004; round: 20; ; value 4: 5.882824960923922; round: 20; ; value 5: 1.8539369395851937; round: 20; ; value 6: 4.4675049810337235; round: 20; ; value 7: 7.880553312669756; round: 20; ; value 8: 7.988242280653091; round: 20; ; value 9: 6.737059610870162; round: 20; ; value 10: 7.433478784173249; round: 20; ;0.544582534694589;49;0.544582534694589
PROPOSE; value 1: 2.8457010785896313; round: 20; ; value 2: 3.6582327307258247; round: 20; ; value 3: 3.227383753326262; round: 20; ; value 4: 8.409159291846555; round: 20; ; value 5: 5.397822854685869; round: 20; ; value 6: 7.924909551712106; round: 20; ; value 7: 6.144711850894727; round: 20; ; value 8: 8.008947648847407; round: 20; ; value 9: 8.631325416913104; round: 20; ; value 10: 7.796575365128618; round: 20; ;0.5433545180362709;53;0.5433545180362709
PROPOSE; value 1: 2.1223548368494; round: 20; ; value 2: 8.795079063481916; round: 20; ; value 3: 4.936760530748915; round: 20; ; value 4: 5.605666694711224; round: 20; ; value 5: 1.8753348626408903; round: 20; ; value 6: 8.276879659148797; round: 20; ; value 7: 0.6773596628610553; round: 20; ; value 8: 7.427690870581423; round: 20; ; value 9: 0.7168785228845153; round: 20; ; value 10: 1.2143150632274569; round: 20; ;0.529020898085674;50;0.529020898085674
PROPOSE; value 1: 0.3027376715968336; round: 20; ; value 2: 1.4413634437625045; round: 20; ; value 3: 8.22470641612473; round: 20; ; value 4: 3.67656375200238; round: 20; ; value 5: 0.027574491874238327; round: 20; ; value 6: 0.6890149075483851; round: 20; ; value 7: 5.836131695925347; round: 20; ; value 8: 2.4279524285229725; round: 20; ; value 9: 2.5714514387790604; round: 20; ; value 10: 0.4432165540976505; round: 20; ;0.5145570245559291;49;0.5145570245559291
